Año;Codigo Provincia;Codigo Municipio;Municipio;Codigo Comarca;Comarca;codigo producto;grupo de cultivo;cultivo;Superficie Secano que no produce;Superficie Secano en producción;Superficie Regadío que no produce;Superficie Regadío en producción
2010;5;2;ADRADA (LA);6;VALLE DEL TIETAR;0013/02;VIÑEDO;VIÑEDO DE UVA VINO;;52;;
2010;5;2;ADRADA (LA);6;VALLE DEL TIETAR;0014/02;OLIVAR Y OTROS C.I.;OLI ACEITUNA ACEITE;;40;;
2010;5;5;ALBORNOS;1;AREVALO-MADRIGAL;0013/02;VIÑEDO;VIÑEDO DE UVA VINO;;1;;
2010;5;8;ALDEASECA;1;AREVALO-MADRIGAL;0013/02;VIÑEDO;VIÑEDO DE UVA VINO;;2;;
2010;5;13;ARENAL (EL);6;VALLE DEL TIETAR;0012/07;FRUTALES;CEREZO Y GUINDO;;42;;68
2010;5;13;ARENAL (EL);6;VALLE DEL TIETAR;0013/02;VIÑEDO;VIÑEDO DE UVA VINO;;11;;
2010;5;13;ARENAL (EL);6;VALLE DEL TIETAR;0014/02;OLIVAR Y OTROS C.I.;OLI ACEITUNA ACEITE;;12;;
2010;5;14;ARENAS DE SAN PEDRO;6;VALLE DEL TIETAR;0012/01;FRUTALES;MANZANO;;;;3
2010;5;14;ARENAS DE SAN PEDRO;6;VALLE DEL TIETAR;0012/02;FRUTALES;PERAL;;;;2
2010;5;14;ARENAS DE SAN PEDRO;6;VALLE DEL TIETAR;0012/07;FRUTALES;CEREZO Y GUINDO;;10;;8
2010;5;14;ARENAS DE SAN PEDRO;6;VALLE DEL TIETAR;0012/08;FRUTALES;MELOCOTONERO;;;;6
2010;5;14;ARENAS DE SAN PEDRO;6;VALLE DEL TIETAR;0012/09;FRUTALES;CIRUELO;;;;11
2010;5;14;ARENAS DE SAN PEDRO;6;VALLE DEL TIETAR;0012/10;FRUTALES;HIGUERA;;12;;6
2010;5;14;ARENAS DE SAN PEDRO;6;VALLE DEL TIETAR;0014/02;OLIVAR Y OTROS C.I.;OLI ACEITUNA ACEITE;;670;;
